행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1106082,11230545,동대문구,제기동,0.00393816613565977,0.004520817551979025,0.006501347357035628,0.0034351379880791285,0.0042751494276162495,0.0017586211371984062
1106083,11230560,동대문구,전농1동,0.0038174168556785164,0.005115752991107099,0.002158568538047684,0.003453465706003331,0.0023123290446763244,0.004665861983932303
1106084,11230570,동대문구,전농2동,0.0011957248615092739,0.002051143694203184,0.0014615793448767799,0.002266091409056773,0.0018437848242326006,0.0030954327765447963
1106091,11230600,동대문구,답십리1동,0.00272402189245844,0.0022690560934186996,0.00170167930105271,0.002626100153996468,0.0015120048627292068,0.0035561785357369987
1106086,11230610,동대문구,답십리2동,0.0024021943623389135,0.0034796805335048963,0.0013753298460563,0.003442992724332358,0.0025605308479384054,0.0024464950875416943
1106087,11230650,동대문구,장안1동,0.004329066347124504,0.004046944556859571,0.0025198840060794243,0.00414817349017787,0.0016690304933644007,0.0022323456501706705
1106088,11230660,동대문구,장안2동,0.0026595540565362455,0.003306734184921154,0.0016993482335170215,0.0032928799870484125,0.002813797994124202,0.0033095822139158197
1106080,11230705,동대문구,청량리동,0.0024978728172393135,0.005122670845050448,0.0022494801719395415,0.0031706952008870616,0.0018716442103130383,0.0011356409557554284
1106071,11230710,동대문구,회기동,0.0024073108572533735,0.000996170967842356,0.006277564873609518,0.0008980581782859307,0.002122378685036977,0.002783942685823307
1106072,11230720,동대문구,휘경1동,0.002385821578612642,0.0010445959454458038,0.006107396943504247,0.0012846857516393489,0.002910039509674805,0.0020960687354800193
1106073,11230730,동대문구,휘경2동,0.0033103722096555423,0.0018228545140726443,0.0026038024373642153,0.002455477827606867,0.0020489312126430958,0.0039909667873690765
1106089,11230740,동대문구,이문1동,0.0035590338624982925,0.001988883008713037,0.008720523651011216,0.0019135010261340166,0.0020084084692533685,0.002057132474139833
1106090,11230750,동대문구,이문2동,0.00170379280651514,0.002511180981435939,0.0017599559894449263,0.002355984501732624,0.0009649478269678857,0.001421173538916793
1107052,11260520,중랑구,면목2동,0.0030422678761378445,0.004496605063177301,0.0016527268828032487,0.00291890726654742,0.0023300577449093304,0.0012719178704460798
1107054,11260540,중랑구,면목4동,0.001989293222742001,0.004434344377687154,0.0014615793448767799,0.0023686393545850498,0.0024566913180022287,0.0019273449363392127
1107055,11260550,중랑구,면목5동,0.0011302337266041874,0.0018505259298460433,0.000608408626814736,0.001445707844830558,0.0021299766994225507,0.0012005347246557385
1107071,11260565,중랑구,면목본동,0.004688755939611034,0.006540830903437136,0.003487277033390211,0.0038911490650027428,0.0022616756154391652,0.0021544731274902983
1107057,11260570,중랑구,면목7동,0.0023975895169158997,0.003119952128450712,0.0014522550747340251,0.0027465394432126568,0.0017551413230675716,0.0010512790561850252
